,current_step,rel_equity_losses,system_equity_pre_shock,system_debt,system_equity_losses,system_cash_reserves,system_assets,cum_equity_losses,system_TAS,system_equity,equity_to_pre_shock,asset_class,shock
53,5,1.15e-09,3.45e+11,4.36e+12,-398.3575987,87218190449.0,4.64e+12,0.194726713,-5692.615435,2.78e+11,0.805273287,m_14,-0.141981483
54,6,2.39e-11,3.45e+11,4.36e+12,-8.251492805,87218190119.0,4.64e+12,0.194726714,-117.9159938,2.78e+11,0.805273286,m_14,-0.141981483
55,7,4.95e-13,3.45e+11,4.36e+12,-0.170923019,87218190112.0,4.64e+12,0.194726714,-2.442535673,2.78e+11,0.805273286,m_14,-0.141981483
56,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.191356371
57,1,0.010864798,3.45e+11,4.35e+12,-3750342521.0,78063108439.0,4.61e+12,0.251975478,-49559835327.0,2.58e+11,0.748024522,m_14,-0.191356371
58,2,0.000247715,3.45e+11,4.35e+12,-85506959.92,75847281396.0,4.6e+12,0.261261514,-997352673.9,2.55e+11,0.738738486,m_14,-0.191356371
59,3,5.34e-06,3.45e+11,4.35e+12,-1844272.065,75790277881.0,4.6e+12,0.261455998,-21157766.31,2.55e+11,0.738544002,m_14,-0.191356371
60,4,1.14e-07,3.45e+11,4.35e+12,-39484.30183,75789070983.0,4.6e+12,0.261460146,-450276.5922,2.55e+11,0.738539854,m_14,-0.191356371
61,5,2.44e-09,3.45e+11,4.35e+12,-842.9993842,75789045237.0,4.6e+12,0.261460234,-9588.790251,2.55e+11,0.738539766,m_14,-0.191356371
62,6,5.21e-11,3.45e+11,4.35e+12,-17.97678904,75789044689.0,4.6e+12,0.261460236,-204.2478927,2.55e+11,0.738539764,m_14,-0.191356371
63,7,1.11e-12,3.45e+11,4.35e+12,-0.383150752,75789044677.0,4.6e+12,0.261460236,-4.351100261,2.55e+11,0.738539764,m_14,-0.191356371
64,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.286196172
65,1,0.016732704,3.45e+11,4.32e+12,-5775843300.0,57341005108.0,4.54e+12,0.375449397,-76888215990.0,2.16e+11,0.624550603,m_14,-0.286196172
66,2,0.000504564,3.45e+11,4.32e+12,-174166789.5,54362249104.0,4.53e+12,0.389172602,-2371785991.0,2.11e+11,0.610827398,m_14,-0.286196172
67,3,1.88e-05,3.45e+11,4.32e+12,-6477868.181,54269193705.0,4.53e+12,0.38957728,-96172292.42,2.11e+11,0.61042272,m_14,-0.286196172
68,4,7.9e-07,3.45e+11,4.32e+12,-272851.481,54265803144.0,4.53e+12,0.389593162,-4173800.887,2.11e+11,0.610406838,m_14,-0.286196172
69,5,3.47e-08,3.45e+11,4.32e+12,-11991.10548,54265660563.0,4.53e+12,0.389593844,-185071.2421,2.11e+11,0.610406156,m_14,-0.286196172
70,6,1.55e-09,3.45e+11,4.32e+12,-533.6920071,54265654300.0,4.53e+12,0.389593875,-8258.113242,2.11e+11,0.610406125,m_14,-0.286196172
71,7,6.91e-11,3.45e+11,4.32e+12,-23.83957914,54265654022.0,4.53e+12,0.389593876,-369.1504542,2.11e+11,0.610406124,m_14,-0.286196172
72,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.324667631
73,1,0.018981971,3.45e+11,4.31e+12,-6552251710.0,48953456783.0,4.51e+12,0.42549,-87223790290.0,1.98e+11,0.57451,m_14,-0.324667631
74,2,0.000518156,3.45e+11,4.31e+12,-178858594.7,45748534440.0,4.5e+12,0.440972369,-2436555151.0,1.93e+11,0.559027631,m_14,-0.324667631
75,3,1.81e-05,3.45e+11,4.31e+12,-6239359.275,45655594167.0,4.5e+12,0.441383756,-93770376.34,1.93e+11,0.558616244,m_14,-0.324667631
76,4,7.24e-07,3.45e+11,4.31e+12,-249954.8472,45652405267.0,4.5e+12,0.441399027,-3880186.32,1.93e+11,0.558600973,m_14,-0.324667631
77,5,3.04e-08,3.45e+11,4.31e+12,-10481.41231,45652277425.0,4.5e+12,0.441399652,-164227.824,1.93e+11,0.558600348,m_14,-0.324667631
78,6,1.29e-09,3.45e+11,4.31e+12,-445.3193879,45652272063.0,4.5e+12,0.441399679,-6995.359425,1.93e+11,0.558600321,m_14,-0.324667631
79,7,5.5e-11,3.45e+11,4.31e+12,-18.98856427,45652271836.0,4.5e+12,0.44139968,-298.4923548,1.93e+11,0.55860032,m_14,-0.324667631
80,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.130760721
81,1,0.006490535,3.45e+11,4.37e+12,-2240421690.0,91390916640.0,4.65e+12,0.173381816,-31438991327.0,2.85e+11,0.826618184,m_14,-0.130760721
82,2,0.000126817,3.45e+11,4.37e+12,-43775020.48,89851273262.0,4.65e+12,0.179283642,-623736896.8,2.83e+11,0.820716358,m_14,-0.130760721
83,3,2.7e-06,3.45e+11,4.37e+12,-930488.7544,89813573661.0,4.65e+12,0.179400208,-13284261.71,2.83e+11,0.820599792,m_14,-0.130760721
84,4,5.8e-08,3.45e+11,4.37e+12,-20005.07211,89812801063.0,4.65e+12,0.17940269,-285671.4563,2.83e+11,0.82059731,m_14,-0.130760721
85,5,1.25e-09,3.45e+11,4.37e+12,-430.6840026,89812784532.0,4.65e+12,0.179402743,-6150.313243,2.83e+11,0.820597257,m_14,-0.130760721
86,6,2.69e-11,3.45e+11,4.37e+12,-9.273562488,89812784177.0,4.65e+12,0.179402744,-132.4300295,2.83e+11,0.820597256,m_14,-0.130760721
87,7,5.78e-13,3.45e+11,4.37e+12,-0.199683683,89812784169.0,4.65e+12,0.179402744,-2.851560646,2.83e+11,0.820597256,m_14,-0.130760721
88,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.089901176
89,1,0.004462401,3.45e+11,4.38e+12,-1540344395.0,1e+11,4.68e+12,0.119332377,-21615071076.0,3.04e+11,0.880667623,m_14,-0.089901176
90,2,0.000100643,3.45e+11,4.38e+12,-34740100.32,99319416317.0,4.68e+12,0.123411997,-494119029.9,3.03e+11,0.876588003,m_14,-0.089901176
91,3,2.44e-06,3.45e+11,4.38e+12,-843371.4025,99290038331.0,4.68e+12,0.123504901,-12015815.54,3.03e+11,0.876495099,m_14,-0.089901176
92,4,5.99e-08,3.45e+11,4.38e+12,-20670.76449,99289347469.0,4.68e+12,0.123507159,-294561.751,3.03e+11,0.876492841,m_14,-0.089901176
93,5,1.47e-09,3.45e+11,4.38e+12,-507.2033157,99289330604.0,4.68e+12,0.123507215,-7227.894163,3.03e+11,0.876492785,m_14,-0.089901176
94,6,3.61e-11,3.45e+11,4.38e+12,-12.44698686,99289330191.0,4.68e+12,0.123507216,-177.3760893,3.03e+11,0.876492784,m_14,-0.089901176
95,7,8.85e-13,3.45e+11,4.38e+12,-0.305459004,99289330180.0,4.68e+12,0.123507216,-4.352952296,3.03e+11,0.876492784,m_14,-0.089901176
96,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.152160401
97,1,0.007552745,3.45e+11,4.36e+12,-2607078492.0,86660138833.0,4.64e+12,0.201643054,-36584147729.0,2.76e+11,0.798356946,m_14,-0.152160401
98,2,0.000135646,3.45e+11,4.36e+12,-46822656.92,84909019817.0,4.63e+12,0.208491273,-667943622.4,2.73e+11,0.791508727,m_14,-0.152160401
99,3,2.67e-06,3.45e+11,4.36e+12,-921964.1538,84868209768.0,4.63e+12,0.208615695,-13180313.99,2.73e+11,0.791384305,m_14,-0.152160401
100,4,5.33e-08,3.45e+11,4.36e+12,-18384.78923,84867437709.0,4.63e+12,0.208618148,-262893.7812,2.73e+11,0.791381852,m_14,-0.152160401
101,5,1.06e-09,3.45e+11,4.36e+12,-367.1637761,84867422396.0,4.63e+12,0.208618197,-5250.42434,2.73e+11,0.791381803,m_14,-0.152160401
102,6,2.12e-11,3.45e+11,4.36e+12,-7.333956151,84867422090.0,4.63e+12,0.208618198,-104.8755866,2.73e+11,0.791381802,m_14,-0.152160401
103,7,4.24e-13,3.45e+11,4.36e+12,-0.146496036,84867422084.0,4.63e+12,0.208618198,-2.094894446,2.73e+11,0.791381802,m_14,-0.152160401
104,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.340395225
105,1,0.019901498,3.45e+11,4.31e+12,-6869656796.0,45524526257.0,4.5e+12,0.445633379,-91449097239.0,1.91e+11,0.554366621,m_14,-0.340395225
106,2,0.000527536,3.45e+11,4.31e+12,-182096269.3,42237599678.0,4.49e+12,0.461836605,-2481884742.0,1.86e+11,0.538163395,m_14,-0.340395225
107,3,1.81e-05,3.45e+11,4.31e+12,-6235814.1,42144485117.0,4.49e+12,0.46225424,-94074977.68,1.86e+11,0.53774576,m_14,-0.340395225
108,4,7.13e-07,3.45e+11,4.31e+12,-246145.8363,42141337443.0,4.49e+12,0.462269496,-3837661.072,1.86e+11,0.537730504,m_14,-0.340395225
109,5,2.95e-08,3.45e+11,4.31e+12,-10177.00822,42141212963.0,4.49e+12,0.462270112,-160155.5026,1.86e+11,0.537729888,m_14,-0.340395225
110,6,1.24e-09,3.45e+11,4.31e+12,-426.333436,42141207814.0,4.49e+12,0.462270138,-6726.218963,1.86e+11,0.537729862,m_14,-0.340395225
111,7,5.19e-11,3.45e+11,4.31e+12,-17.92374341,42141207598.0,4.49e+12,0.462270139,-282.9735477,1.86e+11,0.537729861,m_14,-0.340395225
112,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.088405759
113,1,0.004388173,3.45e+11,4.38e+12,-1514722304.0,1.01e+11,4.68e+12,0.117352015,-21255525948.0,3.05e+11,0.882647985,m_14,-0.088405759
114,2,9.95e-05,3.45e+11,4.38e+12,-34329361.27,99666728069.0,4.68e+12,0.121364565,-488249461.5,3.03e+11,0.878635435,m_14,-0.088405759
115,3,2.43e-06,3.45e+11,4.38e+12,-837218.5903,99637714100.0,4.68e+12,0.121456386,-11927380.99,3.03e+11,0.878543614,m_14,-0.088405759
116,4,5.97e-08,3.45e+11,4.38e+12,-20612.83139,99637028579.0,4.68e+12,0.121458628,-293716.8306,3.03e+11,0.878541372,m_14,-0.088405759
117,5,1.47e-09,3.45e+11,4.38e+12,-508.06719,99637011768.0,4.68e+12,0.121458683,-7239.726478,3.03e+11,0.878541317,m_14,-0.088405759
